tconst,language,title type,primary title,original title,isAdult,start year,end year,runtime minutes,genres,averageRating,numVotes
tt0123371,English,movie,Aberration,Aberration,0,1997,\N,93,"Horror,Sci-Fi",4.6,998
tt0123376,English,movie,Alegría,Alegr√≠a,0,1999,\N,94,"Drama,Fantasy,Romance",6.5,565
tt0123398,English,movie,The Bachelor's Dreams,The Bachelor's Dreams,0,1967,\N,84,Comedy,3.6,30
tt0123435,English,movie,The Beach Bunnies,The Beach Bunnies,0,1976,\N,90,Comedy,4.8,97
tt0123455,English,movie,Between the Lies,Between the Lies,0,1997,\N,90,"Drama,Mystery,Romance",5.2,73
tt0123548,English,movie,Booby Trap,Booby Trap,0,1970,\N,90,"Action,Crime,Drama",4.3,103
tt0123550,English,movie,Bootleg,Bootleg,0,1985,\N,105,"Crime,Drama",4.6,10
tt0123573,English,movie,Brothers,Brothers,0,1982,\N,103,Drama,4.7,27
tt0123581,English,movie,Burning Down the House,Burning Down the House,0,2001,\N,84,Comedy,5.1,74
tt0123633,English,movie,Career Bed,Career Bed,0,1969,\N,79,Drama,5,123
tt0123648,English,movie,Centrespread,Centrespread,0,1981,\N,82,"Drama,Sci-Fi",4.4,206
tt0123652,English,movie,Chained Girls,Chained Girls,0,1965,\N,65,Documentary,4.2,286
tt0123656,English,movie,Channel Chaos,Channel Chaos,0,1984,\N,90,Comedy,5.1,14
tt0123705,English,movie,College Girls,College Girls,0,1968,\N,85,Comedy,4.8,97
tt0123722,English,movie,Common Law Wife,Common Law Wife,0,1961,\N,81,Drama,4.4,162
tt0123726,English,movie,Confessions of a Sexist Pig,Confessions of a Sexist Pig,0,1998,\N,91,Comedy,5,513
tt0123740,English,movie,Country Hooker,Country Hooker,0,1974,\N,75,Drama,4.7,165
tt0123741,English,movie,Country Town,Country Town,0,1971,\N,101,Drama,5.4,7
tt0123755,English,movie,Cube,Cube,0,1997,\N,90,"Drama,Horror,Mystery",7.2,236181
tt0123768,English,movie,Cumulus 9,Cumulus 9,0,1992,\N,93,"Action,Adventure,Fantasy",6.2,68
tt0123770,English,movie,The Curious Female,The Curious Female,0,1970,\N,87,"Comedy,Sci-Fi",4.2,332
tt0123776,English,movie,The Loves of Cynthia,The Loves of Cynthia,0,1972,\N,86,Drama,4.8,39
tt0123781,English,movie,Dalmas,Dalmas,0,1973,\N,105,Drama,6,28
tt0123790,English,movie,Deafula,Deafula,0,1975,\N,95,Horror,5.9,113
tt0123792,English,movie,Demonstrator,Demonstrator,0,1971,\N,112,Drama,6.4,12
tt0123796,English,movie,Desolation Angels,Desolation Angels,0,1982,\N,88,"Drama,Horror,Thriller",4.9,46
tt0123797,English,movie,Destination Nicaragua,Destination Nicaragua,0,1986,\N,58,Documentary,7.2,9
tt0123802,English,movie,Divine Horsemen: The Living Gods of Haiti,Divine Horsemen: The Living Gods of Haiti,0,1993,\N,52,Documentary,6.7,480
tt0123811,English,movie,Drawn to the Flame,Drawn to the Flame,0,1997,\N,92,Romance,4.1,58
tt0123817,English,movie,Edge,Edge,0,1997,\N,100,"Action,Drama,Thriller",6.7,59
tt0123825,English,movie,Escape from DS-3,Escape from DS-3,0,1981,\N,90,"Crime,Sci-Fi",4,99
tt0123832,English,movie,Family Plan,Family Plan,0,1997,\N,95,"Comedy,Family",4.8,1141
tt0123854,English,movie,Gala,Gala,0,1982,\N,91,Documentary,7.4,6
tt0123855,English,movie,Gang Justice,Noleul bola america,0,1991,\N,89,"Action,Drama",5.5,60
tt0123872,English,movie,Golgota,Golgota,0,1966,\N,85,Drama,6.8,31
tt0123885,English,movie,La hermana Trinquete,La hermana Trinquete,0,1970,\N,87,"Adventure,Comedy,Crime",6.5,46
tt0123892,English,movie,Hombres complicados,Hombres complicados,0,1998,\N,87,Drama,6.5,221
tt0123906,English,movie,In Fast Company,In Fast Company,0,1924,\N,60,"Action,Adventure,Comedy",5.5,19
